duration,time,P,T,T_new,Td,Td_new,RH,RH_new,U,V,WS,WD,dZ,dZ_new,geoALT,geoALT_new,LON,LAT,GPS_Z,q,q_new,rad
4707.0,2021-09-05 15:18:54.000001,323.549218,-11.21,-21.189716300964356,-42.1645636019661,-28.744080966246415,5.8,50.62821728095822,-9.685700218993286,-0.24855415713269302,9.68888888888889,88.52999999999996,2.7831073205306893,2.7831073205306893,8766.274834613585,8766.274834613585,121.47756000000001,24.8857,9288.66,0.26247183143201364,0.9125549560696173,903.8305550787727
4708.0,2021-09-05 15:18:55.000001,323.501914,-11.21,-21.189716300964356,-42.1645636019661,-27.444485262052233,5.8,57.111299919914,-9.758308215226297,-0.02214093700553051,9.758333333333336,89.87,1.1204796507372519,1.120479650737252,8767.395314264322,8767.395314264322,121.47746000000001,24.8857,9290.72,0.26251021132090063,1.029560656400704,903.8320999219712
4709.0,2021-09-05 15:18:56.000001,323.416875,-11.22,-21.20023223876953,-42.17207147461635,-34.68051834157848,5.8,28.67164871885309,-8.63689795176904,-2.569847705121434,9.011111111111113,73.43,1.6842273168549582,1.6842273168549582,8769.079541581177,8769.079541581177,121.47737,24.88569,9292.64,0.26234635022546965,0.5164862504329892,903.8335312819432
4710.0,2021-09-05 15:18:57.000001,323.346992,-11.28,-21.265921859741212,-42.21712052674064,-28.760737771959022,5.8,50.88610822169546,-9.400789208922113,-1.0910339823525734,9.463888888888887,83.38,-0.3273151390003477,-0.3273151390003477,8768.752226442177,8768.752226442177,121.47728000000001,24.88567,9294.47,0.2610093961141481,0.9110925207517518,903.8350036433793
4711.0,2021-09-05 15:18:58.000001,323.300039,-11.3,-21.306335258483887,-42.39572265683487,-27.507891247320895,5.7,57.35798614241004,-10.174075198644099,0.5492273140134766,10.188888888888886,93.08999999999996,0.4513813356807077,0.4513813356807077,8769.203607777858,8769.203607777858,121.47719,24.88567,9296.26,0.25609135887564705,1.0231418039554505,903.8363939963117
4712.0,2021-09-05 15:18:59.000001,323.2028509999999,-11.31,-21.192942199707034,-42.23964622044181,-29.960952634328162,5.8,45.179086624596785,-9.04928365319677,-2.216019661863018,9.316666666666666,76.24000000000002,1.9725528681101423,1.9725528681101423,8771.176160645968,8771.176160645968,121.47708999999999,24.88566,9297.71,0.26043120384310875,0.8149569368371883,903.8379798340236
4713.0,2021-09-05 15:19:00.000001,323.160273,-11.34,-21.22294219970703,-42.42570886834698,-28.83844014255713,5.7,50.32972050466261,-8.998639091770663,-1.6726731735278124,9.152777777777779,79.47000000000003,0.017071674577891827,0.017071674577891827,8771.193232320546,8771.193232320546,121.477,24.88564,9299.62,0.2552936818089335,0.9053768064465373,903.8394521899344
4715.0,2021-09-05 15:19:02.000001,322.99343700000014,-11.36,-21.24294219970703,-42.440702495005716,-28.845876944856915,5.7,50.382444583660224,-9.02312001781392,-1.4145963812704867,9.133333333333336,81.08999999999997,3.2935959650567384,3.2935959650567384,8774.486828285602,8774.486828285602,121.47681000000001,24.88564,9302.75,0.25497220169847035,0.9050553263360741,903.842387364252
4716.0,2021-09-05 15:19:03.000001,323.086054,-11.38,-21.359716300964358,-42.45569646894899,-27.527388796004157,5.7,57.52191391187714,-10.518251423885669,0.5089079411534635,10.530555555555557,92.76999999999998,-2.857409289375937,-2.857409289375937,8771.629418996226,8771.629418996226,121.47691,24.88564,9301.35,0.2544466286338307,1.0214970737136342,903.8408425368067
4716.0,2021-09-05 15:19:03.000001,322.911523,-11.38,-21.262942199707034,-42.45569646894899,-34.932325748863995,5.7,28.120338173498112,-8.487294205499005,-2.32504560585442,8.799999999999997,74.68,4.1381331119955584,4.138133111995558,8775.767552108222,8775.767552108222,121.47672,24.88562,9304.96,0.2545841549262638,0.5043049518689746,903.8438597145804
