duration,time,P,T,Td,RH,U,V,WS,WD,dZ,geoALT,LON,LAT,GPS_Z,q,rad
58.0,2021-09-05 14:01:25.000001,981.250156,30.78,24.72387339988672,70.2,-4.536351647551201,-1.4364016989932231,4.758333333333333,72.43,4.366996798894775,288.31267574186325,121.76288,24.81686,291.37,19.13475840494934,1101.7151179158575
58.0,2021-09-05 14:01:25.000001,980.359687,30.7,24.742453056472144,70.6,-4.837847854434202,-0.5777348181150513,4.872222222222222,83.19,8.0244167869497,296.33709252881295,121.7628,24.81682,297.78,19.17365232336565,1101.7162452097787
59.0,2021-09-05 14:01:26.000001,980.817031,30.74,24.780730798894563,70.6,-3.9614577765697954,-3.3941808136228997,5.216666666666667,49.40999999999997,-4.122359797031891,292.21473273178106,121.76284,24.81684,295.39,19.208454962162072,1101.715681563064
61.0,2021-09-05 14:01:28.000001,979.93375,30.66,24.51359323214425,69.8,-2.9287471826475793,-0.8514340491980957,3.05,73.78999999999995,7.960689094444319,300.1754218262254,121.76277,24.81682,301.01,18.921427513558974,1101.7165828021932
62.0,2021-09-05 14:01:29.000001,979.4360929999999,30.62,24.403428783788428,69.5,-2.5177177927751178,-0.5660071477041887,2.5805555555555557,77.32999999999998,4.489729048187087,304.66515087441246,121.76275,24.81681,305.57,18.80672744678379,1101.716864625205
63.0,2021-09-05 14:01:30.000001,978.927812,30.58,24.365225327885742,69.5,-3.88253442626056,1.6018509384151736,4.199999999999998,112.42000000000002,4.587269432430276,309.25242030684274,121.76271,24.81682,311.54,18.7736080028152,1101.7172579861744
64.0,2021-09-05 14:01:31.000001,978.520156,30.53,24.26938998440162,69.3,-5.902729488019002,-3.535509771497932,6.880555555555556,59.08000000000004,3.668159744398281,312.920580051241,121.76266,24.81681,316.19,18.67402979001403,1101.7178774002691
65.0,2021-09-05 14:01:32.000001,978.007968,30.48,24.19757479546116,69.2,-4.292074767106726,-0.7244091221690973,4.352777777777779,80.42000000000002,4.617865418023371,317.5384454692644,121.76262,24.81681,320.47,18.6036800695471,1101.7183275217026
66.0,2021-09-05 14:01:33.000001,977.474687,30.45,24.144834429753963,69.1,-5.09147157073211,-2.2914031412079847,5.583333333333334,65.76999999999998,4.82423503560517,322.36268050486956,121.76258,24.8168,323.99,18.555122937500883,1101.718834404313
67.0,2021-09-05 14:01:34.000001,977.0617960000001,30.41,24.154818353704474,69.3,-1.9808810924148041,-0.7300001514865059,2.1111111111111107,69.76999999999998,3.7245141373858814,326.08719464225544,121.76254,24.81679,327.22,18.57421543802162,1101.71934128646
68.0,2021-09-05 14:01:35.000001,976.517031,30.33,24.174339194732134,69.7,-4.109219719725746,-1.9013376606892698,4.527777777777779,65.16999999999996,4.895423513835453,330.9826181560909,121.76251,24.81678,331.29,18.606615516141897,1101.7197356381816
69.0,2021-09-05 14:01:36.000001,976.0517179999999,30.29,24.231515602233653,70.1,-4.64746717510344,-1.783064906635296,4.977777777777779,69.00999999999999,4.202339274222595,335.1849574303135,121.76247,24.81677,336.13,18.679566719774165,1101.720242519518
70.0,2021-09-05 14:01:37.000001,975.5796869999999,30.25,24.193269062441797,70.1,-0.8147102323818551,-0.2955644572058941,0.8666666666666667,70.06,4.264364019342565,339.44932144965605,121.76245,24.81677,340.72,18.64591932648346,1101.7204675791763
71.0,2021-09-05 14:01:38.000001,975.0959369999999,30.18,24.17381879565668,70.3,-3.973567964341789,-1.2444791327173756,4.163888888888889,72.61000000000001,4.349113976426111,343.79843542608216,121.76242,24.81676,344.89,18.633652512531043,1101.7208619301184
72.0,2021-09-05 14:01:39.000001,974.706718,30.13,24.173339472986424,70.5,-4.611955834834517,-0.7304620437017448,4.669444444444443,81.0,3.5042414564156275,347.3026768824978,121.76237,24.81675,348.54,18.640728539514395,1101.721481339991
73.0,2021-09-05 14:01:40.000001,974.360781,30.07,24.092278863721926,70.4,-3.0086422772765142,-0.2198850271441153,3.0166666666666666,85.82,3.1025699611249706,350.40524684362276,121.76234,24.81676,351.98,18.557065475463556,1101.7217621668133
74.0,2021-09-05 14:01:41.000001,973.915312,30.03,24.10126467714887,70.6,-3.4826841473775363,-0.3746508909625433,3.5027777777777773,83.86000000000001,4.024756459831792,354.43000330345455,121.7623,24.81676,355.51,18.575710012954502,1101.7222122844064
75.0,2021-09-05 14:01:42.000001,973.431875,29.98,23.911347099183374,70.0,-3.54132476774652,0.89543530373345,3.6527777777777777,104.19,4.363329929686984,358.79333323314154,121.76227,24.81677,359.0,18.37430296397047,1101.7224931104445
76.0,2021-09-05 14:01:43.000001,973.0228119999999,29.94,23.682072834032432,69.2,-2.8363008503858196,0.5631461597239094,2.8916666666666666,101.23000000000002,3.6945323711452716,362.4878656042868,121.76224,24.81677,363.06,18.130357065532085,1101.7228306979991
77.0,2021-09-05 14:01:44.000001,972.5674210000001,29.87,23.47077005503581,68.6,-5.110452231019507,0.08206573335564307,5.111111111111111,90.92000000000002,4.092297683650031,366.58016328793684,121.7622,24.81677,367.38,17.909588479362238,1101.7232808142992
78.0,2021-09-05 14:01:45.000001,972.147187,29.81,23.509948099782022,69.0,-6.1685877511450835,1.6632577644462445,6.3888888888888875,105.08999999999996,3.780296864848026,370.36046015278487,121.76215,24.81679,371.26,17.959921187068005,1101.7237299349943
79.0,2021-09-05 14:01:46.000001,971.849218,29.78,23.648805969090937,69.7,-6.062858949379019,-0.5314977109309699,6.086111111111111,84.99000000000002,2.6913032992897,373.05176345207457,121.76209,24.81678,374.64,18.116491799626903,1101.7244618695076
79.0,2021-09-05 14:01:46.000001,971.26,29.71,23.747855531233228,70.4,-5.742916228224306,-1.069571241218817,5.841666666666668,79.44999999999997,5.313412859445748,378.3651763115203,121.762,24.81675,379.75,18.23616242686374,1101.7256449123684
80.0,2021-09-05 14:01:47.000001,971.541015,29.77,23.663055269733956,69.8,-4.109958401085592,-0.7017897952055133,4.169444444444443,80.31,-2.511093168306445,375.85408314321387,121.76203999999998,24.81676,377.46,18.137833648384607,1101.7251380365074
82.0,2021-09-05 14:01:49.000001,971.006875,29.67,23.850632302039916,71.0,-4.004226600340559,-0.8547775393440454,4.094444444444443,77.94999999999997,4.785160632057398,380.63924377527127,121.76195,24.81674,382.25,18.35419973927493,1101.7262643160354
83.0,2021-09-05 14:01:50.000001,970.769296,29.63,23.90574719680395,71.4,-3.4314752678276768,-1.3613890935602293,3.6916666666666655,68.36000000000001,2.132203878533744,382.771447653805,121.76192,24.81673,385.0,18.419780056670476,1101.7266586627
84.0,2021-09-05 14:01:51.000001,970.5178119999999,29.59,23.937158257341395,71.7,-3.0129119292599507,-0.2996664447815588,3.0277777777777777,84.32,2.2590573838102728,385.0305050376153,121.76189,24.81673,387.54,18.459523756435892,1101.7269962470646
85.0,2021-09-05 14:01:52.000001,970.104062,29.55,23.8057703009961,71.3,-3.1062853269855233,0.11281656999549719,3.108333333333333,92.07999999999998,3.740192732531739,388.770697770147,121.76186,24.81674,390.65,18.322231968573632,1101.7272770690477
86.0,2021-09-05 14:01:53.000001,969.7515619999999,29.52,23.870030633095958,71.7,-5.175385567839395,-1.2415448469208588,5.322222222222221,76.50999999999998,3.1907553074611883,391.9614530776082,121.76182,24.81673,394.24,18.39998240626577,1101.727783942815
87.0,2021-09-05 14:01:54.000001,969.347656,29.46,23.95109822801567,72.3,-6.601623976019838,-1.838239416084033,6.852777777777778,74.44,3.6327683091481617,395.5942213867564,121.76176,24.81671,397.7,18.49780370191339,1101.7285726336545
88.0,2021-09-05 14:01:55.000001,969.0171869999999,29.42,24.02740413163277,72.8,-5.613949726521141,-2.045530119087279,5.9750000000000005,69.98000000000002,2.9809142457971234,398.5751356325535,121.7617,24.81669,401.0,18.589289836089335,1101.7293613234465
89.0,2021-09-05 14:01:56.000001,968.7359369999999,29.38,24.03464760854365,73.0,-7.455621385747643,-2.0746351455015626,7.738888888888888,74.44999999999997,2.5314488439165643,401.10658447647006,121.76163,24.81667,403.38,18.60293850681445,1101.730262539518
90.0,2021-09-05 14:01:57.000001,968.4290619999999,29.36,24.060984664449556,73.2,-5.57560193484449,-1.1708988485522973,5.697222222222222,78.13999999999999,2.7849292067303963,403.89151368320046,121.76157,24.81666,406.57,18.638367488497224,1101.730994464951
91.0,2021-09-05 14:01:58.000001,968.195625,29.31,24.058345605315548,73.4,-7.815501880370357,-2.598356517588626,8.23611111111111,71.61000000000001,2.085084596805359,405.9765982800058,121.7615,24.81665,409.63,18.640111804124587,1101.7318389162654
92.0,2021-09-05 14:01:59.000001,967.998906,29.27,24.065186679407645,73.6,-2.9044348019838817,-0.9842270700754441,3.0666666666666664,71.27999999999997,1.7590505074795715,407.7356487874854,121.76145,24.81663,411.43,18.651724497198202,1101.732515074785
93.0,2021-09-05 14:02:00.000001,967.798906,29.25,24.091143160992917,73.8,-5.911954335117224,-2.3252056754867563,6.352777777777778,68.52999999999997,1.8085648270276806,409.54421361451307,121.76141,24.81661,413.06,18.68475542302275,1101.7330787059066
94.0,2021-09-05 14:02:01.000001,967.605468,29.24,24.08151848842576,73.8,-5.838668478658921,-1.3329443048272858,5.988888888888887,77.13999999999999,1.7585825742480097,411.3027961887611,121.76135,24.81661,414.31,18.67773781556967,1101.7337538653915
95.0,2021-09-05 14:02:02.000001,967.4423429999999,29.21,23.984824702222916,73.5,-6.130808842018059,0.3148646260802174,6.138888888888888,92.94,1.4617802973401126,412.7645764861012,121.76129,24.81662,415.73,18.572848166325382,1101.734372261531
