duration,time,P,T,RH,WS,WD,LON,LAT,GPS_Z,IF
72.0,2021-09-05 14:01:39.000001,974.706718,30.13,70.5,4.669444444444444,81.0,121.76236999999999,24.81675,348.54,1.0
73.0,2021-09-05 14:01:40.000001,974.3607810000001,30.07,70.4,3.0166666666666666,85.82,121.76234,24.816760000000002,351.98,1.0
74.0,2021-09-05 14:01:41.000001,973.915312,30.03,70.6,3.5027777777777773,83.86000000000001,121.7623,24.816760000000002,355.51,1.0
75.0,2021-09-05 14:01:42.000001,973.431875,29.98,70.0,3.6527777777777777,104.19,121.76227,24.81677,359.0,1.0
76.0,2021-09-05 14:01:43.000001,973.022812,29.94,69.2,2.8916666666666666,101.23000000000002,121.76223999999999,24.81677,363.06,1.0
77.0,2021-09-05 14:01:44.000001,972.567421,29.87,68.6,5.111111111111111,90.92000000000002,121.7622,24.81677,367.38,1.0
78.0,2021-09-05 14:01:45.000001,972.1471869999999,29.81,69.0,6.388888888888888,105.08999999999997,121.76215,24.81679,371.26,1.0
79.0,2021-09-05 14:01:46.000001,971.849218,29.78,69.7,6.086111111111111,84.99000000000001,121.76208999999999,24.816779999999998,374.64,1.0
79.0,2021-09-05 14:01:46.000001,971.26,29.71,70.4,5.841666666666667,79.44999999999999,121.762,24.81675,379.75,1.0
80.0,2021-09-05 14:01:47.000001,971.541015,29.77,69.8,4.169444444444444,80.31,121.76203999999998,24.816760000000002,377.46,1.0
82.0,2021-09-05 14:01:49.000001,971.006875,29.67,71.0,4.094444444444444,77.94999999999999,121.76195,24.81674,382.25,1.0
83.0,2021-09-05 14:01:50.000001,970.769296,29.63,71.4,3.6916666666666664,68.36000000000001,121.76191999999999,24.81673,385.0,1.0
84.0,2021-09-05 14:01:51.000001,970.517812,29.59,71.7,3.0277777777777777,84.32,121.76189,24.81673,387.54,1.0
85.0,2021-09-05 14:01:52.000001,970.1040619999999,29.55,71.3,3.108333333333333,92.07999999999998,121.76186000000001,24.81674,390.65,1.0
86.0,2021-09-05 14:01:53.000001,969.751562,29.52,71.7,5.322222222222222,76.50999999999999,121.76182,24.81673,394.24,1.0
87.0,2021-09-05 14:01:54.000001,969.347656,29.46,72.3,6.852777777777778,74.44,121.76176000000001,24.81671,397.7,1.0
88.0,2021-09-05 14:01:55.000001,969.017187,29.42,72.8,5.9750000000000005,69.98000000000002,121.7617,24.816689999999998,401.0,1.0
89.0,2021-09-05 14:01:56.000001,968.735937,29.38,73.0,7.738888888888889,74.44999999999999,121.76163000000001,24.816670000000002,403.38,1.0
90.0,2021-09-05 14:01:57.000001,968.429062,29.36,73.2,5.697222222222223,78.13999999999999,121.76156999999999,24.81666,406.57,1.0
91.0,2021-09-05 14:01:58.000001,968.195625,29.31,73.4,8.23611111111111,71.61000000000001,121.7615,24.81665,409.63,1.0
92.0,2021-09-05 14:01:59.000001,967.998906,29.27,73.6,3.0666666666666664,71.27999999999997,121.76145,24.81663,411.43,1.0
93.0,2021-09-05 14:02:00.000001,967.7989060000001,29.25,73.8,6.352777777777778,68.52999999999997,121.76141000000001,24.81661,413.06,1.0
94.0,2021-09-05 14:02:01.000001,967.605468,29.24,73.8,5.988888888888888,77.13999999999999,121.76135,24.81661,414.31,1.0
95.0,2021-09-05 14:02:02.000001,967.442343,29.21,73.5,6.138888888888889,92.94,121.76128999999999,24.81662,415.73,1.0
96.0,2021-09-05 14:02:03.000001,967.264375,29.15,73.0,3.819444444444444,92.51999999999998,121.76123999999999,24.81662,417.2,1.0
97.0,2021-09-05 14:02:04.000001,967.0213279999999,29.12,73.1,6.291666666666666,91.01999999999998,121.76118999999998,24.81662,419.02,1.0
98.0,2021-09-05 14:02:05.000001,966.71875,29.08,73.7,4.261111111111111,84.49000000000001,121.76114,24.81662,421.32,1.0
99.0,2021-09-05 14:02:06.000001,966.2563279999999,29.05,73.8,5.441666666666666,89.86000000000001,121.7611,24.81661,424.38,1.0
100.0,2021-09-05 14:02:07.000001,965.945156,29.0,73.0,6.541666666666667,90.79000000000002,121.76104,24.81661,427.65,1.0
101.0,2021-09-05 14:02:08.000001,965.722031,28.96,72.4,9.097222222222221,93.97000000000003,121.76096000000001,24.81662,430.04,1.0
102.0,2021-09-05 14:02:09.000001,965.452343,28.92,72.3,9.1,104.81,121.76087,24.81663,432.73,1.0
103.0,2021-09-05 14:02:10.000001,965.182968,28.89,72.0,5.155555555555555,108.75,121.76081,24.81665,435.93,1.0
104.0,2021-09-05 14:02:11.000001,965.1420310000001,28.86,72.0,10.616666666666665,88.0,121.76073000000001,24.81666,437.02,1.0
105.0,2021-09-05 14:02:12.000001,965.119843,28.84,71.5,8.577777777777778,121.89999999999998,121.76064,24.816679999999998,436.88,1.0
106.0,2021-09-05 14:02:13.000001,965.062343,28.81,71.0,8.766666666666666,111.16000000000003,121.76056000000001,24.81672,437.13,1.0
107.0,2021-09-05 14:02:14.000001,964.948515,28.81,70.9,7.252777777777777,118.5,121.7605,24.81675,437.92,1.0
108.0,2021-09-05 14:02:15.000001,964.518359,28.71,72.2,7.966666666666667,118.05000000000001,121.76029,24.81683,440.58,1.0
108.0,2021-09-05 14:02:15.000001,964.81664,28.78,71.2,8.716666666666667,100.27999999999997,121.76042,24.816779999999998,438.62,1.0
109.0,2021-09-05 14:02:16.000001,964.6353119999999,28.75,71.8,6.097222222222221,108.01999999999998,121.76036,24.8168,439.45,1.0
111.0,2021-09-05 14:02:18.000001,964.4328119999999,28.69,72.1,6.352777777777778,118.17000000000002,121.76023,24.816860000000002,441.68,1.0
112.0,2021-09-05 14:02:19.000001,964.321171,28.66,72.2,5.7,113.20999999999998,121.76018,24.816879999999998,443.28,1.0
113.0,2021-09-05 14:02:20.000001,964.2,28.67,72.2,6.191666666666666,131.43,121.76013,24.8169,444.35,1.0
114.0,2021-09-05 14:02:21.000001,964.1007810000001,28.64,72.4,6.261111111111111,116.18,121.76008,24.81693,445.93,1.0
115.0,2021-09-05 14:02:22.000001,963.97875,28.62,72.5,9.305555555555555,114.35000000000002,121.76,24.81695,447.43,1.0
116.0,2021-09-05 14:02:23.000001,963.861718,28.6,72.5,5.336111111111111,114.63999999999999,121.75993999999999,24.816979999999997,448.13,1.0
117.0,2021-09-05 14:02:24.000001,963.7351560000001,28.57,72.6,9.391666666666667,109.95999999999998,121.75986999999999,24.816999999999997,449.03,1.0
118.0,2021-09-05 14:02:25.000001,963.623203,28.55,72.6,5.277777777777778,108.24000000000001,121.75981000000002,24.81702,449.45,1.0
119.0,2021-09-05 14:02:26.000001,963.533125,28.54,72.5,7.602777777777778,115.87,121.75975,24.81704,449.84,1.0
120.0,2021-09-05 14:02:27.000001,963.404531,28.51,72.2,6.477777777777778,108.57999999999998,121.75968,24.81706,450.3,1.0
121.0,2021-09-05 14:02:28.000001,963.310312,28.51,72.1,6.538888888888889,114.25,121.75962,24.817079999999997,451.06,1.0
122.0,2021-09-05 14:02:29.000001,963.195312,28.5,71.7,7.749999999999999,106.24000000000001,121.75956000000001,24.81711,451.95,1.0
123.0,2021-09-05 14:02:30.000001,963.13914,28.49,71.7,6.105555555555555,111.31,121.75948999999999,24.81713,453.06,1.0
124.0,2021-09-05 14:02:31.000001,963.030546,28.48,71.8,8.927777777777777,104.5,121.75941999999999,24.81715,454.32,1.0
125.0,2021-09-05 14:02:32.000001,962.9036710000001,28.47,71.7,5.358333333333333,107.91000000000003,121.75936000000002,24.81717,455.94,1.0
126.0,2021-09-05 14:02:33.000001,962.75289,28.45,71.7,9.583333333333334,115.85000000000002,121.75929,24.8172,458.19,1.0
127.0,2021-09-05 14:02:34.000001,962.60914,28.45,71.7,4.886111111111111,113.38,121.75923,24.81723,459.66,1.0
128.0,2021-09-05 14:02:35.000001,962.49625,28.45,71.8,10.402777777777779,110.08999999999997,121.75915,24.81725,460.85,1.0
129.0,2021-09-05 14:02:36.000001,962.267265,28.42,71.8,4.677777777777778,112.75999999999999,121.75908999999999,24.81727,462.51,1.0
130.0,2021-09-05 14:02:37.000001,962.028437,28.42,71.7,8.827777777777778,114.63,121.75901999999999,24.8173,464.18,1.0
131.0,2021-09-05 14:02:38.000001,961.692031,28.41,71.9,5.361111111111112,120.98000000000002,121.75896999999999,24.817339999999998,466.51,1.0
